"","Treatment","Day","Genus","N","Abundance","sd","se","ci"
"1","Negative Control","9","unc_Agaricomycetes",1,0.107291667,NA,NA,NA
"2","Negative Control","9","unc_Mortierellales",3,0.257898374333333,0.0478624778992085,0.0276334144991906,0.118896986327241
"3","Negative Control","15","unc_Mortierellales",3,0.238511389,0.0809375033259628,0.0467292893327809,0.201059904306942
"4","Negative Control","15","unc_Tremellales",2,0.146832301,0.0589011095751494,0.041649374,0.529205473177511
"5","Negative Control","21","Gaertneriomyces",1,0.133064516,NA,NA,NA
"6","Negative Control","21","unc_Agaricomycetes",1,0.129692833,NA,NA,NA
"7","Negative Control","21","unc_Mortierellales",3,0.197840712,0.023550576734362,0.0135969318171548,0.0585028757992986
"8","Negative Control","21","unc_Tremellales",1,0.151209677,NA,NA,NA
"9","Negative Control","27","unc_Agaricomycetes",1,0.137630662,NA,NA,NA
"10","Negative Control","27","unc_Mortierellales",3,0.249618160666667,0.0494935014205665,0.0285750863683012,0.122948673365398
"11","Negative Control","33","Mycocalia",2,0.1604400235,0.0698937739178059,0.0494223615,0.627970643764238
"12","Negative Control","33","unc_Mortierellales",3,0.21866315,0.044064784234255,0.0254408150394299,0.109462992276454
"13","Negative Control","33","unc_Tremellales",2,0.108532802,0.0075261518367422,0.005321793,0.0676197914215413
"14","Negative Control","42","Mycocalia",1,0.20278834,NA,NA,NA
"15","Negative Control","42","unc_Agaricomycetes",1,0.163388805,NA,NA,NA
"16","Negative Control","42","unc_Mortierellales",3,0.187768571666667,0.0529793674222346,0.0305876520427232,0.13160804455825
"17","Negative Control","42","unc_Tremellales",1,0.523725835,NA,NA,NA
"18","Negative Control","51","unc_Mortierellales",3,0.276403113333333,0.0433313499526051,0.0250173665594864,0.107641040518317
"19","Positive Control","9","Tremella",1,0.13003096,NA,NA,NA
"20","Positive Control","9","unc_LKM11",1,0.112149533,NA,NA,NA
"21","Positive Control","9","unc_Mortierellales",2,0.124215156,0.00384641905913565,0.002719829,0.0345587041213853
"22","Positive Control","9","unc_Tremellales",2,0.209759556,0.0602128195243081,0.042576893,0.540990719488203
"23","Positive Control","15","unc_Tremellales",2,0.3361163615,0.0543651164474667,0.0384419425,0.488451191861255
"24","Positive Control","21","Tremella",3,0.139790262,0.0409301518948392,0.0236310342144577,0.101676133869639
"25","Positive Control","21","unc_Pleosporales",1,0.166666667,NA,NA,NA
"26","Positive Control","21","unc_Tremellales",3,0.217684388666667,0.0406837744628791,0.0234887881377933,0.101064098399583
"27","Positive Control","27","Tremella",2,0.104355717,0.0012833153692534,0.000907440999999995,0.011530131131999
"28","Positive Control","27","unc_Pleosporales",1,0.118421053,NA,NA,NA
"29","Positive Control","27","unc_Tremellales",1,0.32183908,NA,NA,NA
"30","Positive Control","33","unc_Agaricomycetes",3,0.799517422666667,0.033128666434648,0.0191268444839373,0.0822961696303064
"31","Positive Control","42","unc_LKM11",1,0.10443038,NA,NA,NA
"32","Positive Control","42","unc_Pleosporales",3,0.142787145333333,0.0590301547155496,0.0340810757153278,0.146639033459353
"33","Positive Control","42","unc_Tremellales",2,0.138550294,0.000976107171312652,0.000690211999999996,0.00876997498336455
"34","Positive Control","51","unc_Ascobolaceae",1,0.10989011,NA,NA,NA
"35","Positive Control","51","unc_Pleosporales",3,0.192082192,0.0288027026084154,0.0166292481043574,0.0715498797498943
"36","Positive Control","51","unc_Tremellales",2,0.1491872305,0.0470158148451264,0.0332452015,0.422420336754382
"37","Antibacterial","9","unc_Ascobolaceae",1,0.164782718,NA,NA,NA
"38","Antibacterial","9","unc_Helotiales",3,0.608518661,0.0701080059980372,0.0404768761353147,0.174157941595342
"39","Antibacterial","9","unc_Mortierellales",3,0.1981164,0.0868751584949678,0.0501573961429611,0.215809857431636
"40","Antibacterial","15","Tremella",1,0.123348018,NA,NA,NA
"41","Antibacterial","15","unc_Agaricomycetes",2,0.331540873,0.288878782434007,0.204268146,2.59547288415482
"42","Antibacterial","15","unc_Tremellales",3,0.203355184666667,0.0989746422711138,0.0571430363581744,0.245866641372672
"43","Antibacterial","21","Tremella",2,0.12694414,0.0261776657960187,0.018510405,0.235196995679512
"44","Antibacterial","21","unc_Tremellales",3,0.212154636333333,0.0665934689818267,0.0384477572429286,0.165427347654032
"45","Antibacterial","27","Tremella",2,0.1686507935,0.0364777303602116,0.0257936505,0.327739404146335
"46","Antibacterial","27","unc_Pleosporales",2,0.330357143,0.23991122912912,0.169642857,2.15551687307161
"47","Antibacterial","27","unc_Tremellales",3,0.190515094666667,0.112913899842474,0.0651908704693028,0.280493676779489
"48","Antibacterial","33","Tremella",2,0.108356021,0.00515336452280275,0.003643979,0.0463011432283211
"49","Antibacterial","33","unc_Ascobolaceae",1,0.152,NA,NA,NA
"50","Antibacterial","33","unc_LKM11",1,0.109947644,NA,NA,NA
"51","Antibacterial","33","unc_Tremellales",3,0.136270890333333,0.0364058828851006,0.0210189462837988,0.0904372266044444
"52","Antibacterial","42","Tremella",1,0.139130435,NA,NA,NA
"53","Antibacterial","42","unc_Agaricomycetes",2,0.1093936975,0.00098718541325351,0.000698045500000001,0.00886950903816544
"54","Antibacterial","42","unc_Pleosporales",2,0.1473394495,0.0461889934716714,0.0326605505,0.414991641449173
"55","Antibacterial","42","unc_Tremellales",3,0.144553251,0.0361330151064965,0.0208614059983685,0.0897593854652922
"56","Antibacterial","51","Allomyces",1,0.102702703,NA,NA,NA
"57","Antibacterial","51","Aspergillus",1,0.896184561,NA,NA,NA
"58","Antibacterial","51","unc_Helotiales",2,0.3725063195,0.205738788497943,0.1454792925,1.84848967537884
"59","Antibacterial","51","unc_LKM11",1,0.140540541,NA,NA,NA
"60","Antibacterial","51","unc_Pleosporales",1,0.118705036,NA,NA,NA
"61","Antifungal","9","Rhopalomyces",1,0.179752066,NA,NA,NA
"62","Antifungal","9","Tremella",1,0.128,NA,NA,NA
"63","Antifungal","9","unc_Mortierellales",2,0.128950413,0.00996962154452906,0.007049587,0.0895734957274756
"64","Antifungal","9","unc_Tremellales",3,0.187850249,0.106016100491987,0.0612084241574829,0.263358593284857
"65","Antifungal","15","Tremella",2,0.1602316605,0.0259363493434829,0.0183397685,0.233028853375048
"66","Antifungal","15","unc_Tremellales",3,0.256781238,0.0692934817433753,0.0400066103376241,0.172134551177202
"67","Antifungal","21","Tremella",3,0.141361859,0.0219824188306299,0.0126915554293033,0.0546073556126583
"68","Antifungal","21","unc_Tremellales",3,0.207948010333333,0.0865264565787169,0.0499560729977466,0.214943633851318
"69","Antifungal","21","Zoopagales",1,0.154761905,NA,NA,NA
"70","Antifungal","27","Tremella",3,0.141464815333333,0.0109893981621466,0.0063447319871473,0.0272991784040281
"71","Antifungal","27","unc_Tremellales",3,0.296259296333333,0.101135843179598,0.0583908062844606,0.251235362052107
"72","Antifungal","33","Rhopalomyces",1,0.107936508,NA,NA,NA
"73","Antifungal","33","Tremella",1,0.141891892,NA,NA,NA
"74","Antifungal","33","unc_Agaricomycetes",1,0.167381974,NA,NA,NA
"75","Antifungal","33","unc_Tremellales",3,0.204735790333333,0.0418732050009335,0.0241755061791213,0.104018807654671
"76","Antifungal","42","Tremella",2,0.1338235295,0.0228769839724283,0.0161764705,0.20554154608169
"77","Antifungal","42","unc_Agaricomycetes",1,0.116666667,NA,NA,NA
"78","Antifungal","42","unc_Tremellales",3,0.2390248,0.0485084835958769,0.0280063860620601,0.12050175344034
"79","Antifungal","51","Pythium ",1,0.168224299,NA,NA,NA
"80","Antifungal","51","Tremella",1,0.102040816,NA,NA,NA
"81","Antifungal","51","unc_Helotiales",1,0.107142857,NA,NA,NA
"82","Antifungal","51","unc_LKM11",2,0.276530612,0.174612083047506,0.123469388,1.56882732257819
"83","Antibacterial+Antifungal","9","Tremella",1,0.120805369,NA,NA,NA
"84","Antibacterial+Antifungal","9","unc_LKM11",1,0.111111111,NA,NA,NA
"85","Antibacterial+Antifungal","9","unc_Tremellales",3,0.247678797333333,0.0604332986824245,0.0348911812623149,0.150124636302482
"86","Antibacterial+Antifungal","15","Tremella",1,0.151162791,NA,NA,NA
"87","Antibacterial+Antifungal","15","unc_Tremellales",3,0.281856158666667,0.147362982066194,0.0850800573645032,0.36606994106662
"88","Antibacterial+Antifungal","21","Tremella",1,0.136986301,NA,NA,NA
"89","Antibacterial+Antifungal","21","unc_LKM11",1,0.125,NA,NA,NA
"90","Antibacterial+Antifungal","21","unc_Mortierellales",1,0.143835616,NA,NA,NA
"91","Antibacterial+Antifungal","21","unc_Tremellales",3,0.202868146,0.0460427575633713,0.0265827984734451,0.114376550416148
"92","Antibacterial+Antifungal","27","Tremella",2,0.108452381,0.000168359296173387,0.000119047999999997,0.00151264826143208
"93","Antibacterial+Antifungal","27","unc_Tremellales",3,0.361349206333333,0.0734631205612345,0.0424139524315387,0.182492508209024
"94","Antibacterial+Antifungal","33","Tremella",1,0.111111111,NA,NA,NA
"95","Antibacterial+Antifungal","33","unc_LKM11",2,0.167528377,0.0817751116782814,0.057823736,0.734720228226515
"96","Antibacterial+Antifungal","33","unc_Tremellales",3,0.269434704666667,0.0879349387724473,0.0507692605714457,0.218442497585093
"97","Antibacterial+Antifungal","42","Tremella",1,0.125,NA,NA,NA
"98","Antibacterial+Antifungal","42","unc_LKM11",2,0.162377451,0.0355286495171826,0.025122549,0.319212251088581
"99","Antibacterial+Antifungal","42","unc_Mortierellales",1,0.125,NA,NA,NA
"100","Antibacterial+Antifungal","42","unc_Tremellales",3,0.299291939,0.112133903144369,0.064740539165685,0.278556057566687
"101","Antibacterial+Antifungal","51","unc_LKM11",1,0.115537849,NA,NA,NA
"102","Antibacterial+Antifungal","51","unc_Pleosporales",2,0.200368421,0.0786749335180303,0.055631579,0.706866232570676
"103","Antibacterial+Antifungal","51","unc_Tremellales",3,0.255304466333333,0.0999250733028508,0.057691767970194,0.248227642941028
